title,platform,genre,developer,publisher,image
ESPN Baseball Tonight,Genesis,Baseball,Stormfront Studios,989 Studios,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2370526-genesis_espnbaseballtonight.jpg
Eternal Champions,Genesis,Fighting,Sega,Sega,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2921883-box_ec.png
"Evander Holyfield's ""Real Deal"" Boxing",Game Gear,Boxing,ACME Interactive,Sega,https://www.giantbomb.com/a/uploads/square_avatar/16/164924/3096232-1390465601-47364.jpg
Evergrace,PlayStation 2,Action,"FromSoftware, Inc.","FromSoftware, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2117027-box_egrace.png
Evil Dead: Hail to the King,Dreamcast,Action-Adventure,Heavy Iron Studios,THQ,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2139776-box_edhotk.png
EVO Search for Eden,Super Nintendo Entertainment System,Platformer,Almanic Corp.,Enix Corporation,https://www.giantbomb.com/a/uploads/square_avatar/0/4527/918229-evo.jpg
Ex-Mutants,Genesis,Action,Malibu Interactive,Sega,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2370537-genesis_exmutants.jpg
Excite Truck,Wii,Driving/Racing,"Monster Games, Inc.",Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2636035-excitetruck.jpg
Excitebike,Nintendo Entertainment System,Sports,Nintendo,Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361695-nes_excitebike.jpg
Excitebots: Trick Racing,Wii,Driving/Racing,"Monster Games, Inc.",Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2636026-excitebots.jpg
Eye of the Beholder,Super Nintendo Entertainment System,Action,Capcom,Capcom,https://www.giantbomb.com/a/uploads/square_avatar/1/15693/636775-eyeofthebeholder_1_1_.jpg
F-15 Strike Eagle II,Genesis,Action,"MicroProse Software, Inc.","MicroProse Software, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2370546-genesis_f15strikeeagle2.jpg
F-Zero,Super Nintendo Entertainment System,Driving/Racing,Nintendo EAD,Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/0/5150/1419250-fzerojpg.jpg
Fable Anniversary,Xbox 360,Role-Playing,Lionhead Studios Ltd.,Xbox Game Studios,https://www.giantbomb.com/a/uploads/square_avatar/4/49445/2492013-uwrjqid.jpg
Fable II,Xbox 360,Adventure,Lionhead Studios Ltd.,Xbox Game Studios,https://www.giantbomb.com/a/uploads/square_avatar/0/24/221544-fable_ii.jpg
Fable III,Xbox 360,Role-Playing,Lionhead Studios Ltd.,Xbox Game Studios,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1886609-box_fable3.png
Falcon,TurboGrafx-16,Simulation,"Sphere, Inc.","Spectrum Holobyte, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/0/1987/619681-falcon___front.jpg
Fallout: New Vegas,Xbox 360,Role-Playing,Obsidian Entertainment,Bethesda Softworks,https://www.giantbomb.com/a/uploads/square_avatar/6/66643/3307317-5063954537-libra.jpg
Family Tennis,Nintendo Entertainment System,Tennis,Namco,Namco,https://www.giantbomb.com/a/uploads/square_avatar/9/97089/3046686-432952-family-tennis-nes-front-cover.jpg
Fantasy Zone,Sega Master System,Shoot 'Em Up,Sega,Sega,https://www.giantbomb.com/a/uploads/square_avatar/3/30116/1333650-fantasy_zone_1.jpg
Fatal Fury,Genesis,Fighting,SNK,"D4 Enterprise, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/0/1614/841450-fatal_fury_ng_us.jpg
Fatal Fury Special,Game Gear,Fighting,Gaibrain,"TAKARA Co., Ltd.",https://www.giantbomb.com/a/uploads/square_avatar/0/4737/451375-ffspecial.jpg
Fatal Labyrinth,Genesis,Role-Playing,Sega,Sega,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2370556-genesis_fatallabyrinth_eu.jpg
Fathom,Atari 2600,Action-Adventure,Imagic,Imagic,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/1791286-fathom__imagic_.jpg
Faxanadu,Nintendo Entertainment System,Action,Nihon Falcom Corp.,Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361717-nes_faxanadu.jpg
Fester's Quest,Nintendo Entertainment System,Action,SUNSOFT,SUNSOFT,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361722-nes_festersquest.jpg
FIFA World Cup 98: France 98 Soushuuhen,PlayStation,Sports,Electronic Arts,Electronic Arts,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2266561-box_wc98.png
Fight Night (Cartridge release),Atari 7800,Action,Sydney Development Corp.,"Accolade, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/7/73970/2747317-fight_night_c64_2_1_us.jpg
Fighters Megamix,Saturn,Fighting,SEGA-AM2,Sega,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2989516-box_fm.png
Fighting Force,PlayStation,Brawler,Core Design Ltd.,Eidos Interactive,https://www.giantbomb.com/a/uploads/square_avatar/20/207993/2552601-197329_42146_front.jpg
Fighting Masters,Genesis,Fighting,Aicom Corporation,Treco,https://www.giantbomb.com/a/uploads/square_avatar/9/97089/2242625-586184_91885_front.jpg
Fighting Vipers,Saturn,Fighting,SEGA-AM2,Sega,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2375800-box_fvipers.png
Final Fantasy,Nintendo Entertainment System,Role-Playing,Squaresoft,Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361723-nes_finalfantasy.jpg
Final Fantasy Adventure,Game Boy,Role-Playing,Squaresoft,SUNSOFT,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2167106-box_ffa.png
Final Fantasy Chronicles,PlayStation,Role-Playing,Squaresoft,Squaresoft,https://www.giantbomb.com/a/uploads/square_avatar/0/1992/3007657-screen%20shot%202018-03-21%20at%2010.01.47%20pm.png
Final Fantasy Crystal Chronicles,GameCube,Action-Adventure,Square Enix Ltd.,Square Enix,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1814638-box_ffcc.png
Final Fantasy I & II: Dawn of Souls,Game Boy Advance,Role-Playing,Square Enix,Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1814642-box_ffdos.png
Final Fantasy III,Super Nintendo Entertainment System,Role-Playing,Squaresoft,Squaresoft,https://www.giantbomb.com/a/uploads/square_avatar/45/459166/3246800-6.jpg
Final Fantasy IV,Super Nintendo Entertainment System,Role-Playing,Squaresoft,Squaresoft,https://www.giantbomb.com/a/uploads/square_avatar/0/5128/814659-ff4_logo.jpg
Final Fantasy IX,PlayStation,Role-Playing,Squaresoft,Squaresoft,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1814634-box_ff9.png
Final Fantasy Mystic Quest,Super Nintendo Entertainment System,Role-Playing,Squaresoft,Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2950171-box_ffmq.png
Final Fantasy Tactics,PlayStation,Strategy,Square Enix,Square Enix,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1814645-box_fft.png
Final Fantasy Tactics Advance (Ultimate Hits),Game Boy Advance,Strategy,Square Enix,Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2818831-fftaclean.jpg
Final Fantasy VII,PlayStation,Role-Playing,Squaresoft,Sony Interactive Entertainment America,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1814630-box_ff7.png
Final Fantasy X,PlayStation 2,Role-Playing,Square Enix,Square Enix,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2167105-box_ff10.png
Final Fantasy X/X-2 HD Remaster,PlayStation 3,Role-Playing,Square Enix,Square Enix,https://www.giantbomb.com/a/uploads/square_avatar/5/56735/2572041-ffxx2_standard_edition_art.jpg
FINAL FANTASY XIII,PlayStation 3,RPG,Square Enix,Square Enix,https://media.rawg.io/media/games/943/9432de383089b0a427a3cdf3687b2b73.jpg
Final Fight,Super Nintendo Entertainment System,Action,Capcom,Capcom,https://www.giantbomb.com/a/uploads/square_avatar/0/1614/787377-final_fight_ami_uk.jpg
Final Fight (Nintendo Power),Super Nintendo Entertainment System,Action,Capcom,Capcom,https://www.giantbomb.com/a/uploads/square_avatar/0/1614/787377-final_fight_ami_uk.jpg
Final Fight 2,Super Nintendo Entertainment System,Brawler,Capcom,Capcom,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2832018-ff2.jpg
Final Fight 3,Super Nintendo Entertainment System,Brawler,Capcom,Capcom,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2832182-ff3.jpg
Final Fight Guy,Super Nintendo Entertainment System,Action,Capcom,Capcom,https://www.giantbomb.com/a/uploads/square_avatar/0/1614/787377-final_fight_ami_uk.jpg
Final Lap Twin,TurboGrafx-16,Role-Playing,Namco,"NEC Technologies, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2365534-tg16_finallaptwin.jpg
Final Zone,Genesis,Action,Wolf Team,Renovation Products,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2370560-genesis_finalzone.jpg
Fire Fighter,Atari 2600,Action,Imagic,Imagic,https://www.giantbomb.com/a/uploads/square_avatar/0/5278/427322-fire.jpg
Fishing Derby,Atari 2600,Action,Activision,Activision,https://www.giantbomb.com/a/uploads/square_avatar/8/82221/1277192-b_fishingderby_original_front.jpg
Flash Gordon (Cartridge release),Atari 2600,Shoot 'Em Up,"Sirius Software, Inc.",20th Century Fox,https://www.giantbomb.com/a/uploads/square_avatar/1/15568/616289-b_flashgordon_front.jpg
Flashback 25th Anniversary Collector's Edition,Nintendo Switch,Puzzle,Paul Cuisset,Microïds,https://www.giantbomb.com/a/uploads/square_avatar/0/3163/235655-flashback.jpg
Flashback: The Quest for Identity,Genesis,Puzzle,Delphine Software International,U.S. Gold Ltd.,https://www.giantbomb.com/a/uploads/square_avatar/0/3163/235655-flashback.jpg
Flying Warriors,Nintendo Entertainment System,Action,Culture Brain Inc.,"Culture Brain USA, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361744-nes_flyingwarriors.jpg
Food Fight,Atari 7800,Action,General Computer Corporation,Atari,https://www.giantbomb.com/a/uploads/square_avatar/0/26/1663817-foodfightflyer.jpg
Forgotten Worlds,Genesis,Shoot 'Em Up,Sega,Sega,https://www.giantbomb.com/a/uploads/square_avatar/0/3715/724857-fowoam0f.jpg
Formula One Championship Edition,PlayStation 3,Sports,SCEE Studio Liverpool,Sony Interactive Entertainment Europe,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1832139-box_f1ce.png
Forsaken,PlayStation,Action,Probe Entertainment,"Acclaim Entertainment, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2604870-box_forsaken.png
Forza Horizon,Xbox 360,Driving/Racing,Turn 10 Studios,Xbox Game Studios,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2392146-1__2_.jpg
Forza Horizon 2,Xbox 360,Driving/Racing,Turn 10 Studios,Xbox Game Studios,https://www.giantbomb.com/a/uploads/square_avatar/0/3699/2669575-forza%20horizon%202%20-%20cover%202.jpg
Freedom Fighters!,Odyssey 2,Shoot 'Em Up,,Philips do Brasil Ltda.,https://www.giantbomb.com/a/uploads/square_avatar/16/164924/3010479-3460118502-49978.jpg
Freedom Force,Nintendo Entertainment System,Light-Gun Shooter,SUNSOFT,SUNSOFT,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361745-nes_freedom_force_2.jpg
Freeway,Atari 2600,Action,Activision,Activision,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2367695-a2600_freeway.jpg
Friday The 13th,Nintendo Entertainment System,Action-Adventure,"Atlus Co., Ltd.",LJN,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361746-nes_fridaythe13th.jpg
Frogger,Atari 2600,Action,Konami,Parker Brothers,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2367698-a2600_frogger.jpg
Frogger (Greatest Hits),PlayStation,Adventure,Guerrilla Cambridge,"Hasbro Interactive, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/0/9288/828184-froggercover.png
Frogger 3D,Nintendo 3DS,Action,Konami,Konami,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1906703-box_frogger3d.png
Frogs and Flies,Atari 2600,Action,APh Technological Consulting,Mattel Electronics,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2366955-intv_frogbog.jpg
G.I. Joe,Nintendo Entertainment System,Action,KID Corp.,Taxan,https://www.giantbomb.com/a/uploads/square_avatar/0/5112/235100-g.i_joe_1.jpg
G.I. Joe: Operation Blackout,Nintendo Switch,Action,,GameMill Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/16/164924/3234355-box_crop.jpg
G.I. Joe: The Atlantis Factor,Nintendo Entertainment System,Action,KID Corp.,Capcom,https://www.giantbomb.com/a/uploads/square_avatar/0/5112/235012-g.i._joe_the_atlantis_factor.png
Gaiares,Genesis,Shoot 'Em Up,"Telenet Japan Co., Ltd.",Renovation Products,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2370573-genesis_gaiares.jpg
Galactic Pinball,Virtual Boy,Action,"Intelligent Systems Co., Ltd.",Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/1/19490/680670-galactic_pinballvb.jpg
Galaga,Atari 7800,Shoot 'Em Up,General Computer Corporation,Atari SA,https://www.giantbomb.com/a/uploads/square_avatar/13/139866/2606606-29167601.jpg
Galaga,Nintendo Entertainment System,Shoot 'Em Up,Namco,"Bandai America, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/13/139866/2606606-29167601.jpg
Galaga '90,TurboGrafx-16,Shoot 'Em Up,Namco,"NEC Technologies, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/0/2579/1710648-vc________________.jpg
Galaxian,Atari 2600,Shoot 'Em Up,General Computer Corporation,Atari,https://www.giantbomb.com/a/uploads/square_avatar/13/139866/2693631-9183045957-62199.jpg
Galaxian,Atari 5200,Shoot 'Em Up,Namco,Atari,https://www.giantbomb.com/a/uploads/square_avatar/13/139866/2693631-9183045957-62199.jpg
Galaxy Force II,Genesis,Shoot 'Em Up,Sega,Sega,https://www.giantbomb.com/a/uploads/square_avatar/13/139866/2790160-0001.jpg
Gangster Town,Sega Master System,Action,Sega,Sega,https://www.giantbomb.com/a/uploads/square_avatar/5/59868/1449140-gangster_town___front.png
Gargoyle's Quest,Game Boy,Action,Capcom,Capcom,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2368428-box_gquest.png
Gargoyles,Genesis,Action,Buena Vista Interactive,Disney Interactive,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2980933-box_garg.png
Garou Densetsu,Super Nintendo Entertainment System,Fighting,SNK,"TAKARA Co., Ltd.",https://www.giantbomb.com/a/uploads/square_avatar/0/1614/841450-fatal_fury_ng_us.jpg
Garou Densetsu 3: Haruka-naru Tatakai,Saturn,Fighting,SNK,SNK,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1445910-ff3_box.png
Garry Kitchen's Battletank,Nintendo Entertainment System,Action,Imagineering Inc.,Absolute Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/0/5911/832989-91_1.jpg
Gauntlet,Nintendo Entertainment System,Action,Tengen,Tengen,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361750-nes_gauntlet.jpg
Gauntlet II,Nintendo Entertainment System,Action,Tengen,Mindscape,https://www.giantbomb.com/a/uploads/square_avatar/16/164924/2616745-2197635993-21966.jpg
Gauntlet Legends,Dreamcast,Role-Playing,Atari Games,Midway Games,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2543557-box_gl.png
Gauntlet: Seven Sorrows,Xbox,Action,Midway Games,Midway Games,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2171266-box_gss.png
Gemfire,Super Nintendo Entertainment System,Strategy,Koei,Koei,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361753-nes_gemfire.jpg
General Chaos,Genesis,Action,Game Refuge Inc.,Electronic Arts,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2370577-genesis_generalchaos.jpg
Get Bass,Dreamcast,Fishing,"Sims Co., Ltd.",Sega,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1988279-box_sbf.png
Ghostbusters,Nintendo Entertainment System,Action,Activision,Activision,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2367703-a2600_ghostbusters.jpg
Ghosts 'N Goblins,Nintendo Entertainment System,Action,Capcom,Capcom,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361757-nes_ghostsngoblins.jpg
Ghouls 'N Ghosts,Genesis,Action,Capcom,Sega,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2370583-genesis_ghoulsnghosts.jpg
Global Defense,Sega Master System,Action,Sega,Sega,https://www.giantbomb.com/a/uploads/square_avatar/10/100063/1426879-obraz__3_.jpg
God of War Saga,PlayStation 3,Compilation,SIE Santa Monica Studio,Sony Interactive Entertainment America,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2291746-box_gows.png
Gokujō Parodius Da! Deluxe Pack,Saturn,Compilation,Konami Computer Entertainment Tokyo,Konami,https://www.giantbomb.com/a/uploads/square_avatar/16/164924/3217300-8613084120-34816.jpg
Golden Axe,Sega Master System,Brawler,Sega,Sega,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2370592-genesis_goldenaxe.jpg
Golden Axe: Beast Rider,PlayStation 3,Action,Sega Studios San Francisco,Sega,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2409905-box_gabr.png
Golden Sun,Game Boy Advance,Role-Playing,Camelot Software Planning,Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2621230-goldensunbox.jpg
Golden Sun: The Lost Age,Game Boy Advance,Role-Playing,Camelot Software Planning,Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2621244-gslostage.jpg
GoldenEye 007,Nintendo 64,First-Person Shooter,"Rare, Ltd.",Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1841794-box_geye.png
Golf,Atari 2600,Sports,Atari,Atari,https://www.giantbomb.com/a/uploads/square_avatar/1/15568/623776-b_golf_color_front.jpg
Golf,Nintendo Entertainment System,Sports,Nintendo R&D1,Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361763-nes_golf.jpg
Golf,Virtual Boy,Golf,"T&E Soft, Inc.",Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/0/8272/762638-563916_29137_front.jpg
Golgo 13,Nintendo Entertainment System,Action,Vic Tokai,Vic Tokai,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361765-nes_golgo13.jpg
Goof Troop,Super Nintendo Entertainment System,Puzzle,Capcom,Capcom,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2363857-snes_gooftroop.jpg
Gorf,Atari 2600,Shoot 'Em Up,Roklan Corporation,CBS Electronics,https://www.giantbomb.com/a/uploads/square_avatar/0/26/2248846-gorf.png
Gradius,Nintendo Entertainment System,Shoot 'Em Up,Konami,Konami,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361769-nes_gradius_3.jpg
Gradius III,Super Nintendo Entertainment System,Shoot 'Em Up,Konami,Konami,https://www.giantbomb.com/a/uploads/square_avatar/1/11236/327583-01_front.jpg
Gran Turismo 3: A-spec,PlayStation 2,Driving/Racing,Polyphony Digital Inc.,Sony Interactive Entertainment America,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2139781-box_gt3.png
Gran Turismo 5,PlayStation 3,Sports,Polyphony Digital Inc.,Sony Interactive Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1794106-box_gt5.png
Gran Turismo 6,PlayStation 3,Driving/Racing,Polyphony Digital Inc.,Sony Interactive Entertainment America,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2573479-box_gt6.png
Grand Prix,Atari 2600,Driving/Racing,Activision,Activision,https://www.giantbomb.com/a/uploads/square_avatar/1/15568/616388-b_grandprix_front.jpg
Grand Theft Auto Advance,Game Boy Advance,Action,"Digital Eclipse Software, Inc.",Rockstar Games,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1786965-box_gtaa.png
Grand Theft Auto III,PlayStation 2,Action,Rockstar North,Rockstar Games,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2737120-grandtheftauto3.jpg
Grand Theft Auto IV,Xbox 360,Action,Rockstar North,Rockstar Games,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2446670-gta_1446_a023.jpg
Grand Theft Auto V,PlayStation 3,Driving/Racing,Rockstar North,"Take-Two Interactive Software, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/0/3699/2463980-grand%20theft%20auto%20v.jpg
Grand Theft Auto V,Xbox 360,Driving/Racing,Rockstar North,Rockstar Games,https://www.giantbomb.com/a/uploads/square_avatar/0/3699/2463980-grand%20theft%20auto%20v.jpg
Grand Theft Auto: Director's Cut,PlayStation,Action,Rockstar North,"Take-Two Interactive Software, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/0/3699/1790087-gta1.jpg
Grand Theft Auto: Liberty City Stories,PlayStation 2,Driving/Racing,Rockstar Leeds,Rockstar Games,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2243849-box_gtalcs.png
Grand Theft Auto: San Andreas,PlayStation 2,Action-Adventure,Rockstar North,Capcom,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2737117-sanandreas.jpg
Grand Theft Auto: Vice City (Platinum),PlayStation 2,Role-Playing,Rockstar North,Rockstar Games,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2737121-vicecity.jpg
Grandia II,Dreamcast,Role-Playing,"Game Arts Co., Ltd.",Ubisoft Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/0/9253/672322-5107dp1hrnl._ss500_.jpg
Great Football,Sega Master System,Sports,Sega,Sega,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/1794802-football.jpg
Gremlins 2: Shinshu Tanjou,Nintendo Entertainment System,Action,SUNSOFT,SUNSOFT,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361770-nes_gremlins2.jpg
Gridders,3DO,Strategy,Tetragon,The 3DO Company,https://www.giantbomb.com/a/uploads/square_avatar/0/5608/958487-image0_1.jpg
Guardian Heroes,Saturn,Brawler,Treasure,Sega,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1988273-box_gheroes.png
Guardian Legend,Nintendo Entertainment System,Shooter,Compile,Irem Corp.,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361779-nes_theguardianlegend.jpg
Guardian's Crusade,PlayStation,Adventure,Tamsoft Corporation,Activision,https://www.giantbomb.com/a/uploads/square_avatar/0/1481/1241655-guardians_crusade.jpg
Guerilla War,Nintendo Entertainment System,Action,SNK,SNK,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361783-nes_guerillawar.jpg
Guilty Gear X2 #Reload,Xbox,Fighting,"Arc System Works Co., Ltd.",ZOO Digital Publishing Ltd,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1879021-box_ggx2r.png
Guitar Hero II,Xbox 360,Simulation,"Harmonix Music Systems, Inc.",Activision,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1891343-box_ghero2.png
Guitar Hero III: Legends of Rock (Bundle),Xbox 360,Simulation,Neversoft Entertainment,Activision,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2491500-box_gh3.png
Guitar Hero World Tour,Xbox 360,Music/Rhythm,Neversoft Entertainment,Activision,https://www.giantbomb.com/a/uploads/square_avatar/1/14036/824172-ghwt_cover.png
Guitar Hero: Aerosmith,Xbox 360,Music/Rhythm,Neversoft Entertainment,Activision,https://www.giantbomb.com/a/uploads/square_avatar/1/13158/970626-gb.png
Guitar Hero: Warriors of Rock,Xbox 360,Music/Rhythm,Neversoft Entertainment,Activision,https://www.giantbomb.com/a/uploads/square_avatar/0/9039/1532640-ghwrpc.jpg
GUN,Xbox,Action,Neversoft Entertainment,Activision,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2213160-box_gun.png
Gun.Smoke,Nintendo Entertainment System,Shooter,Capcom,Capcom,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361791-nes_gunsmoke.jpg
Gunstar Heroes,Genesis,Action,Treasure,Sega,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2525186-box_gsh.png
Gyromite,Nintendo Entertainment System,Action,Nintendo R&D1,Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361793-nes_gyromite.jpg
Gyruss,Nintendo Entertainment System,Shoot 'Em Up,Konami,Ultra Games,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361794-nes_gyruss.jpg
Hades,Nintendo Switch,Action,Supergiant Games,Supergiant Games,https://www.giantbomb.com/a/uploads/square_avatar/20/208795/3274917-1076710064-62941.jpg
HAL's Hole in One Golf,Super Nintendo Entertainment System,Golf,"HAL Laboratory, Inc.","HAL Laboratory, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/7/72767/1312574-588372_40230_front.jpg
Halo 2 (Limited Collector's Edition),Xbox,First-Person Shooter,Bungie,Xbox Game Studios,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2079825-box_halo2.png
Hang On & Safari Hunt: The Combo Cartridge,Sega Master System,Driving/Racing,Sega,Sega,https://www.giantbomb.com/a/uploads/square_avatar/0/26/1187070-thecombocartridge.jpg
Harry Potter and the Philosopher's Stone,Xbox,Action-Adventure,"KnowWonder, Inc.",Electronic Arts,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2285656-box_hpatss.png
Harry Potter Collection,Xbox,Action-Adventure,EA Bright Light,Electronic Arts,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2285653-box_hpatgof.png
Harry Potter: Quidditch World Cup,Xbox,Sports,Electronic Arts,Electronic Arts,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2285658-box_hpqwc.png
Harvest Moon 64,Nintendo 64,Role-Playing,"Pack-In-Video Co., Ltd","Pack-In-Video Co., Ltd",https://www.giantbomb.com/a/uploads/square_avatar/0/3715/634326-hamo640f.jpg
Harvest Moon: A Wonderful Life,PlayStation 2,Role-Playing,Marvelous,Ubisoft Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2139784-box_hmawl.png
Hat Trick,Atari 7800,Sports,Bally Sente,Atari SA,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2059537-hat_trick__1987___atari_.jpg
Haunted House,Atari 2600,Action-Adventure,Atari,Atari,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2367704-a2600_hauntedhouse.jpg
Haunting Starring Polterguy,Genesis,Action,Electronic Arts,Electronic Arts,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2370616-genesis_hauntingstarringpolterguy.jpg
Heavy Nova,Genesis,Action,Micronet,Micronet,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2370617-genesis_heavynova.jpg
Heiankyo Alien,Game Boy,Action,Denki Onkyō,Meldac of America Inc.,https://www.giantbomb.com/a/uploads/square_avatar/13/139866/2614575-284000101.jpg
Heir of Zendor: The Legend and The Land,Saturn,Simulation,Micronet,Koei,https://www.giantbomb.com/a/uploads/square_avatar/0/2579/1660304-heir_of_zendor_the_legend_and_the_land_box_front.jpg
Herzog Zwei,Genesis,Strategy,TecnoSoft,Sega,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2370620-genesis_herzogzwei.jpg
Hitman: Contracts,Xbox,Action-Adventure,IO Interactive,Noviy Disk,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2827612-hcontractsbox.jpg
